merchant_id,merchant_name,merchant_category,merchant_country,onboarding_date
MERCH20000,Kazi Hub,Transport,Uganda,2024-07-13
MERCH20001,Jambo Hub,Electronics,Nigeria,2026-05-22
MERCH20002,Tula Shop,Groceries,Egypt,2025-10-18
MERCH20003,Sunrise Mobile,Utilities,South Africa,2025-10-06
MERCH20004,Jambo Shop,Electronics,Ghana,2026-01-24
MERCH20005,Jambo Foods,Airtime & Data,South Africa,2025-03-31
MERCH20006,Sahara Exchange,Utilities,Nigeria,2026-03-26
MERCH20007,Baobab Wallet,Groceries,South Africa,2024-05-13
MERCH20008,Metro Foods,Restaurants,Kenya,2023-04-21
MERCH20009,Apex Hub,Retail,Egypt,2023-12-11
MERCH20010,Afri Express,Airtime & Data,Nigeria,2025-03-25
MERCH20011,Cloud Tech,Airtime & Data,Rwanda,2025-03-05
MERCH20012,Pesa Games,Gift Cards,Nigeria,2025-06-01
MERCH20013,Sunrise Bet,Airtime & Data,Uganda,2024-04-14
MERCH20014,Sunrise Shop,Restaurants,Nigeria,2024-05-30
MERCH20015,Prime Games,Airtime & Data,Nigeria,2024-06-08
MERCH20016,Cloud Mobile,Transport,Egypt,2026-01-01
MERCH20017,Swift Travel,Travel,Tanzania,2025-08-04
MERCH20018,Swift Games,Gaming,Ghana,2024-11-04
MERCH20019,Baobab Mart,Restaurants,Kenya,2025-08-28
MERCH20020,Mega Travel,Restaurants,Nigeria,2026-01-01
MERCH20021,Cloud Store,Transport,Egypt,2023-04-22
MERCH20022,Quick Express,Gaming,Ghana,2025-08-25
MERCH20023,Quick Shop,Groceries,South Africa,2024-11-07
MERCH20024,Sunrise Mobile,Gift Cards,Nigeria,2024-03-07
MERCH20025,Swift Mart,Electronics,Kenya,2026-04-18
MERCH20026,Apex Mobile,Restaurants,South Africa,2023-10-08
MERCH20027,Kazi Travel,Transport,Nigeria,2025-12-26
MERCH20028,Quick Wallet,Gift Cards,Ghana,2026-05-24
MERCH20029,Kazi Shop,Utilities,Uganda,2022-07-23
MERCH20030,Kazi Plus,Betting,Nigeria,2025-01-13
MERCH20031,Jambo Store,Utilities,Nigeria,2025-10-23
MERCH20032,Zawadi Hub,Gift Cards,Kenya,2023-02-13
MERCH20033,Swift Plus,Groceries,Kenya,2025-12-01
MERCH20034,Apex Bet,Education,Nigeria,2024-02-11
MERCH20035,Bright Cards,Groceries,Kenya,2023-07-03
MERCH20036,Mega Mart,Restaurants,Nigeria,2025-01-10
MERCH20037,Urban Foods,Groceries,Tanzania,2026-04-15
MERCH20038,Afri Exchange,Groceries,Kenya,2026-05-15
MERCH20039,Sahara Plus,Electronics,South Africa,2024-02-17
MERCH20040,Swift Store,Gaming,Nigeria,2023-09-13
MERCH20041,Urban Hub,Education,Nigeria,2025-05-30
MERCH20042,Cloud Games,Money Transfer,Ghana,2026-05-08
MERCH20043,Sahara Foods,Utilities,Nigeria,2022-08-01
MERCH20044,Tula Store,Transport,Kenya,2023-01-28
MERCH20045,Quick Wallet,Retail,Tanzania,2023-01-26
MERCH20046,Imara Cards,Money Transfer,Kenya,2023-05-24
MERCH20047,Bright Store,Retail,South Africa,2024-01-21
MERCH20048,Swift Cards,Gaming,Egypt,2025-01-26
MERCH20049,Tula Wallet,Gaming,Kenya,2022-10-23
MERCH20050,Prime Hub,Airtime & Data,Kenya,2026-02-04
MERCH20051,Prime Cards,Electronics,Uganda,2024-10-08
MERCH20052,Pesa Foods,Gaming,Kenya,2024-12-30
MERCH20053,Afri Plus,Airtime & Data,Nigeria,2023-06-14
MERCH20054,Prime Foods,Electronics,Kenya,2023-03-04
MERCH20055,Urban Tech,Groceries,Nigeria,2023-07-21
MERCH20056,Cloud Shop,Restaurants,Kenya,2024-02-25
MERCH20057,Apex Shop,Healthcare,Uganda,2025-02-03
MERCH20058,Cloud Shop,Airtime & Data,Nigeria,2024-02-02
MERCH20059,Afri Plus,Gaming,Egypt,2024-06-01
MERCH20060,Swift Travel,Healthcare,Nigeria,2023-01-26
MERCH20061,Pesa Bet,Retail,Ghana,2023-04-14
MERCH20062,Nova Mobile,Money Transfer,South Africa,2024-12-04
MERCH20063,Urban Wallet,Electronics,South Africa,2023-04-05
MERCH20064,Mega Cards,Utilities,Tanzania,2024-06-08
MERCH20065,Baobab Cards,Travel,Nigeria,2023-09-27
MERCH20066,Sunrise Pay,Retail,Ghana,2025-08-02
MERCH20067,Mega Bet,Utilities,Tanzania,2023-09-08
MERCH20068,Zawadi Mobile,Gift Cards,Nigeria,2023-05-16
MERCH20069,Pesa Wallet,Restaurants,Kenya,2026-02-10
MERCH20070,Metro Mobile,Groceries,Nigeria,2023-03-02
MERCH20071,Jambo Express,Gaming,Nigeria,2025-05-27
MERCH20072,Prime Plus,Groceries,Kenya,2024-11-15
MERCH20073,Afri Cards,Restaurants,Kenya,2023-06-29
MERCH20074,Metro Pay,Retail,Kenya,2025-06-22
MERCH20075,Baobab Express,Electronics,Nigeria,2026-03-16
MERCH20076,Kazi Mobile,Groceries,Uganda,2023-08-27
MERCH20077,Pesa Pay,Electronics,South Africa,2026-01-28
MERCH20078,Bright Foods,Education,Nigeria,2023-02-08
MERCH20079,Zawadi Cards,Airtime & Data,Egypt,2025-11-02
MERCH20080,Pesa Shop,Travel,South Africa,2024-03-01
MERCH20081,Kazi Shop,Utilities,Kenya,2025-05-04
MERCH20082,Kazi Express,Gift Cards,South Africa,2023-09-19
MERCH20083,Nova Express,Betting,Uganda,2025-06-28
MERCH20084,Bright Cards,Healthcare,Kenya,2023-09-04
MERCH20085,Kazi Plus,Airtime & Data,Rwanda,2024-04-23
MERCH20086,Cloud Mobile,Restaurants,Nigeria,2022-07-13
MERCH20087,Sunrise Games,Electronics,Ghana,2023-08-04
MERCH20088,Bright Exchange,Utilities,Kenya,2023-11-04
MERCH20089,Tula Games,Airtime & Data,Nigeria,2024-07-05
MERCH20090,Zawadi Plus,Restaurants,Nigeria,2023-12-08
MERCH20091,Imara Express,Electronics,Rwanda,2025-06-17
MERCH20092,Tula Hub,Groceries,South Africa,2025-04-05
MERCH20093,Metro Plus,Groceries,Uganda,2023-12-09
MERCH20094,Cloud Foods,Gaming,South Africa,2022-10-30
MERCH20095,Mega Shop,Gift Cards,Tanzania,2023-09-23
MERCH20096,Bright Exchange,Retail,Kenya,2023-01-07
MERCH20097,Jambo Shop,Education,Tanzania,2023-01-06
MERCH20098,Metro Travel,Utilities,Egypt,2025-11-10
MERCH20099,Urban Travel,Money Transfer,South Africa,2025-06-21
MERCH20100,Metro Express,Money Transfer,South Africa,2022-10-27
MERCH20101,Swift Mart,Utilities,Egypt,2025-01-25
MERCH20102,Prime Tech,Electronics,Kenya,2024-07-02
MERCH20103,Nova Travel,Utilities,Nigeria,2024-08-02
MERCH20104,Quick Bet,Restaurants,Uganda,2025-12-30
MERCH20105,Bright Games,Airtime & Data,Nigeria,2023-08-24
MERCH20106,Nova Bet,Money Transfer,Kenya,2024-03-04
MERCH20107,Swift Plus,Restaurants,South Africa,2024-08-18
MERCH20108,Tula Mart,Travel,Nigeria,2026-05-29
MERCH20109,Swift Games,Transport,Egypt,2022-08-19
MERCH20110,Swift Travel,Retail,South Africa,2023-02-03
MERCH20111,Sunrise Bet,Healthcare,Rwanda,2023-01-09
MERCH20112,Baobab Pay,Groceries,South Africa,2024-11-30
MERCH20113,Bright Express,Retail,South Africa,2023-08-08
MERCH20114,Baobab Bet,Utilities,Ghana,2026-04-26
MERCH20115,Imara Express,Electronics,Kenya,2022-10-23
MERCH20116,Pesa Wallet,Money Transfer,Kenya,2025-05-16
MERCH20117,Bright Store,Electronics,Egypt,2022-07-15
